Threshold条件,等价最小重叠,共识ID,核心-边缘,配色HEX,国家数,国家列表,簇内最小重叠(非对角),簇内平均重叠(非对角),阈值校验(最小重叠>=等价门槛)
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,1,Periphery,#3e95d2,1,HUN,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,2,Periphery,#47c247,1,SVK,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,3,Periphery,#b295cc,1,SVN,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,4,Periphery,#a9766b,1,GRC,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,5,Periphery,#e9aed7,1,LTU,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,6,Periphery,#9e9e9e,1,ESP,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,7,Periphery,#d2d349,1,CAN,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,8,Periphery,#45d0df,1,AUS,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,9,Periphery,#3e95d2,1,KOR,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,10,Periphery,#47c247,1,NZL,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,11,Periphery,#b295cc,1,LVA,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,12,Periphery,#a9766b,1,EST,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,13,Periphery,#e9aed7,1,LUX,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,14,Periphery,#9e9e9e,1,ISR,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,15,Periphery,#d2d349,1,CHL,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,16,Periphery,#45d0df,1,TUR,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,17,Periphery,#3e95d2,1,MEX,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,18,Periphery,#47c247,1,CHN,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,19,Periphery,#b295cc,1,NLD,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,20,Periphery,#a9766b,1,PRT,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,21,Periphery,#e9aed7,1,FRA,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,22,Periphery,#9e9e9e,1,DEU,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,23,Periphery,#d2d349,1,IRL,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,24,Periphery,#45d0df,1,DNK,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,25,Periphery,#3e95d2,1,FIN,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,26,Periphery,#47c247,1,GBR,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,27,Periphery,#b295cc,1,SWE,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,28,Periphery,#a9766b,1,NOR,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,29,Periphery,#e9aed7,1,BEL,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,30,Periphery,#9e9e9e,1,CHE,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,31,Periphery,#d2d349,1,JPN,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,32,Periphery,#45d0df,1,ITA,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,33,Periphery,#3e95d2,1,AUT,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,34,Periphery,#47c247,1,CZE,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,35,Periphery,#b295cc,1,POL,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,36,Periphery,#a9766b,1,BGR,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,37,Periphery,#e9aed7,1,ROU,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,38,Periphery,#9e9e9e,1,HRV,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,39,Periphery,#d2d349,1,ARG,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,40,Periphery,#45d0df,1,IDN,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,41,Periphery,#3e95d2,1,MLT,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,42,Periphery,#47c247,1,RUS,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,43,Periphery,#b295cc,1,PER,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,44,Periphery,#a9766b,1,IND,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,45,Periphery,#e9aed7,1,SAU,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,46,Periphery,#9e9e9e,1,ZAF,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,47,Periphery,#d2d349,1,COL,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,48,Periphery,#45d0df,1,ISL,,,True
"Overlap ∈ (14, +∞]  (等价: Overlap ≥ 15)",15,49,Periphery,#3e95d2,1,CRI,,,True
